S.NO,PLAYERS,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average,4s,6s,Ratio,Draft2_Player_id,Draft1_Player_id,Auction1_Player_id,Auction2_Player_id,Auction3_Player_id,No of balls played,4s ratio,6s ratio
1,Virat Kohli,37.85,131.61,8.8,92,480,190,0.3958333333,11,5,,10,,4112,0.1167315175,0.04620622568
2,Ab de Villiers,39.95,151.24,0,0,357,212,0.593837535,10,10,,13,,2906,0.1228492774,0.07295251204
3,Rohit Sharma,31.6,130.82,7.95,29.33,431,194,0.4501160093,8,2,3,,12,3744,0.1151175214,0.05181623932
4,Quinton de Kock,30.33,131.29,0,0,155,54,0.3483870968,6,8,5,,,1109,0.1397655546,0.04869251578
5,Hardik Pandya,28.86,154.78,9.07,31.26,72,68,0.9444444444,7,4,,,,690,0.1043478261,0.09855072464
6,Jasprit Bumrah,11.67,92.11,7.56,26.62,2,1,0.5,7,8,,2,12,38,0.05263157895,0.02631578947
7,Lasith Malinga,5.5,88.89,7.14,19.79,6,5,0.8333333333,4,4,,,,99,0.06060606061,0.05050505051
8,Mahendra Singh Dhoni,42.21,137.85,0,0,297,209,0.7037037037,6,1,3,,,3215,0.09237947123,0.06500777605
9,Shreyas Iyer,30.56,126.96,0,0,149,67,0.4496644295,11,8,,4,4,1324,0.1125377644,0.05060422961
10,KL Rahul,42.06,138.16,0,0,176,81,0.4602272727,12,3,12,,,1431,0.1229909154,0.05660377358
11,Glenn Maxwell,22.9,161.13,8.73,38.19,109,91,0.8348623853,7,1,4,,,867,0.1257208766,0.1049596309
12,Andre Russell,33.33,186.42,8.88,27.96,96,120,1.25,9,12,,2,,751,0.1278295606,0.1597869507
13,Dinesh Karthik,27.07,129.8,0,0,357,101,0.2829131653,13,10,5,2,,2815,0.1268206039,0.03587921847
14,Sunil Narine,17.52,168.34,6.68,23.32,93,44,0.4731182796,13,5,12,,,458,0.2030567686,0.096069869
15,Steve Smith,37.44,128.95,0,0,180,49,0.2722222222,3,9,,,,1568,0.1147959184,0.03125
16,Jos Butler,35.54,150.82,0,0,140,61,0.4357142857,9,6,,5,4,919,0.1523394995,0.06637649619
17,Ben Stokes,22.68,132.02,8.26,31.08,43,25,0.5813953488,5,6,4,,,481,0.0893970894,0.05197505198
18,David Warner,43.17,142.39,0,0,459,180,0.3921568627,13,9,,,4,3305,0.1388804841,0.05446293495
19,Bhuvneshwar Kumar,7.62,95.31,7.25,23.71,17,3,0.1764705882,8,2,,,,192,0.08854166667,0.015625
20,Rashid Khan,8.67,165.08,6.55,21.69,5,9,1.8,7,9,,5,,63,0.07936507937,0.1428571429
21,Mitchell Starc,13.71,97.96,7.17,20.38,10,0,0,11,11,4,4,12,98,0.1020408163,0
22,Eoin Morgan,21.35,121.13,0,0,72,34,0.4722222222,11,11,,,4,705,0.1021276596,0.04822695035
23,Jofra Archer,11.71,134.43,7.53,23.69,6,4,0.6666666667,10,1,5,4,,61,0.09836065574,0.06557377049
24,Kagiso Rabada,11.5,87.34,8.14,17.94,5,2,0.4,4,5,,4,,79,0.06329113924,0.0253164557
25,Rishab Pant,36.17,162.7,0,0,152,94,0.6184210526,2,9,,,,1067,0.1424554827,0.08809746954
26,Pat Cummins,12.83,140,8.29,29.35,5,4,0.8,8,10,3,5,,55,0.09090909091,0.07272727273
27,Aaron Finch,25.93,130.7,0,0,176,67,0.3806818182,12,8,,,,1329,0.1324303988,0.050413845
28,Chris Gayle,41.14,151.03,7.91,40.22,369,326,0.8834688347,3,4,3,10,,2969,0.1242842708,0.1098012799
29,Suresh Raina,33.34,137.11,7.39,44.72,493,194,0.3935091278,4,6,,5,,3915,0.1259259259,0.04955300128
30,Shane Watson,31.09,139.54,7.93,29.15,343,177,0.5160349854,10,3,,4,,2562,0.1338797814,0.06908665105
31,Navdeep Saini,2,50,8.27,36.09,1,0,0,11,8,3,10,4,4,0.25,0
32,Mayank Agarwal,18.41,128.54,0,0,118,52,0.4406779661,,4,12,,,988,0.1194331984,0.05263157895
33,Nicholas Pooran,23.53,124.73,0,0,29,18,0.6206896552,3,2,,13,,283,0.1024734982,0.06360424028
34,Mohammad Shami,6,101.89,8.99,38.67,5,2,0.4,13,10,4,13,,53,0.09433962264,0.03773584906
35,Ambati Rayudu,28.7,125.95,0,0,278,120,0.4316546763,7,5,,13,,2620,0.1061068702,0.04580152672
36,Krunal Pandya,25.46,146.07,7.17,28.2,86,35,0.4069767442,12,2,12,10,,610,0.1409836066,0.05737704918
37,Dwayne Bravo,23.17,128.29,8.4,24.61,117,61,0.5213675214,13,2,4,13,,1156,0.1012110727,0.05276816609
38,Faf du Plessis,31.41,126.74,0,0,163,59,0.3619631902,6,3,,4,12,1462,0.1114911081,0.04035567715
