player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob,Present_league
Bharat Chipli,251,90,100,7,4,28,7,15,0.358565737,0.398406375,0.027888446,0.015936255,0.111553785,0.027888446,0.059760956,1,0,2,0,1,2,0,6,0.166666667,0,0.333333333,0,0.166666667,0.333333333,0,222
Bhuvneshwar Kumar,192,65,69,14,0,17,3,24,0.338541667,0.359375,0.072916667,0,0.088541667,0.015625,0.125,983,918,179,11,322,87,133,2633,0.373338397,0.348651728,0.067983289,0.004177744,0.122293961,0.033042157,0.050512723,6
Ben Laughlin,13,6,5,0,0,0,0,2,0.461538462,0.384615385,0,0,0,0,0.153846154,32,80,19,0,26,10,10,177,0.18079096,0.451977401,0.107344633,0,0.146892655,0.056497175,0.056497175,222
Brett Lee,97,31,36,4,0,8,8,10,0.319587629,0.371134021,0.041237113,0,0.082474227,0.082474227,0.103092784,349,296,67,2,121,25,25,885,0.394350282,0.334463277,0.075706215,0.002259887,0.136723164,0.028248588,0.028248588,222
Billy Stanlake,2,0,1,0,0,1,0,0,0,0.5,0,0,0.5,0,0,57,49,6,3,19,9,7,150,0.38,0.326666667,0.04,0.02,0.126666667,0.06,0.046666667,45
Bodapati Sumanth,37,13,17,3,0,3,0,1,0.351351351,0.459459459,0.081081081,0,0.081081081,0,0.027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Bhargav Bhatt,7,5,0,0,0,0,1,1,0.714285714,0,0,0,0,0.142857143,0.142857143,81,137,18,2,35,13,12,298,0.271812081,0.459731544,0.060402685,0.006711409,0.117449664,0.043624161,0.040268456,222
Ben Stokes,481,119,221,43,2,43,25,28,0.247401247,0.459459459,0.089397089,0.004158004,0.089397089,0.051975052,0.058212058,181,236,45,2,86,22,26,598,0.302675585,0.394648829,0.075250836,0.003344482,0.143812709,0.036789298,0.043478261,28
Basil Thampi,35,13,16,3,0,1,1,1,0.371428571,0.457142857,0.085714286,0,0.028571429,0.028571429,0.028571429,93,180,28,0,58,30,16,405,0.22962963,0.444444444,0.069135802,0,0.143209877,0.074074074,0.039506173,222
Ajantha Mendis,6,1,3,0,0,0,0,2,0.166666667,0.5,0,0,0,0,0.333333333,68,121,16,1,16,10,8,240,0.283333333,0.504166667,0.066666667,0.004166667,0.066666667,0.041666667,0.033333333,222
Brendon McCullum,2186,840,713,103,3,293,130,104,0.384263495,0.326166514,0.047118024,0.00137237,0.134034767,0.05946935,0.04757548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
