crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
0 to 5,7,1,10 to 20,1,2,0,0,0,0,0,3,0.333333333,0.666666667,0,0,0,0,0
0 to 5,7,1,20 to 30,14,11,1,0,0,1,0,27,0.518518519,0.407407407,0.037037037,0,0,0.037037037,0
0 to 5,7,1,30 to 40,9,13,3,0,1,0,0,26,0.346153846,0.5,0.115384615,0,0.038461538,0,0
0 to 5,7,2,10 to 20,2,3,0,0,0,0,0,5,0.4,0.6,0,0,0,0,0
0 to 5,7,2,20 to 30,23,25,3,1,0,0,0,52,0.442307692,0.480769231,0.057692308,0.019230769,0,0,0
0 to 5,7,1,30 to 40,17,21,5,0,4,1,1,49,0.346938776,0.428571429,0.102040816,0,0.081632653,0.020408163,0.020408163
0 to 5,7,3,20 to 30,28,15,2,0,2,0,0,47,0.595744681,0.319148936,0.042553191,0,0.042553191,0,0
0 to 5,7,2,30 to 40,20,20,5,0,3,2,1,51,0.392156863,0.392156863,0.098039216,0,0.058823529,0.039215686,0.019607843
0 to 5,7,3,20 to 30,18,16,2,0,3,0,3,42,0.428571429,0.380952381,0.047619048,0,0.071428571,0,0.071428571
0 to 5,7,3,30 to 40,7,10,2,0,0,0,1,20,0.35,0.5,0.1,0,0,0,0.05
0 to 5,7,5,20 to 30,3,2,1,0,0,0,0,6,0.5,0.333333333,0.166666667,0,0,0,0
0 to 5,7,4,30 to 40,3,2,0,0,0,0,1,6,0.5,0.333333333,0,0,0,0,0.166666667
0 to 5,7,5,20 to 30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0 to 5,7,6,30 to 40,1,4,0,0,0,0,0,5,0.2,0.8,0,0,0,0,0
0 to 5,8,1,20 to 30,0,2,0,0,1,0,0,3,0,0.666666667,0,0,0.333333333,0,0
0 to 5,8,1,30 to 40,12,17,3,0,2,0,0,34,0.352941176,0.5,0.088235294,0,0.058823529,0,0
0 to 5,8,2,20 to 30,9,8,1,0,0,0,0,18,0.5,0.444444444,0.055555556,0,0,0,0
0 to 5,8,1,30 to 40,27,35,5,0,7,2,2,78,0.346153846,0.448717949,0.064102564,0,0.08974359,0.025641026,0.025641026
0 to 5,8,2,40 to 50,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0 to 5,8,2,20 to 30,5,5,1,0,1,0,1,13,0.384615385,0.384615385,0.076923077,0,0.076923077,0,0.076923077
0 to 5,8,2,30 to 40,25,28,3,1,4,0,3,64,0.390625,0.4375,0.046875,0.015625,0.0625,0,0.046875
0 to 5,8,3,20 to 30,9,4,0,0,0,0,1,14,0.642857143,0.285714286,0,0,0,0,0.071428571
0 to 5,8,3,30 to 40,22,27,3,0,6,0,6,64,0.34375,0.421875,0.046875,0,0.09375,0,0.09375
0 to 5,8,4,20 to 30,6,1,0,0,0,0,1,8,0.75,0.125,0,0,0,0,0.125
0 to 5,8,4,30 to 40,5,4,1,0,0,0,2,12,0.416666667,0.333333333,0.083333333,0,0,0,0.166666667
0 to 5,9,1,30 to 40,3,5,0,0,0,0,0,8,0.375,0.625,0,0,0,0,0
0 to 5,9,1,40 to 50,4,2,2,0,1,0,0,9,0.444444444,0.222222222,0.222222222,0,0.111111111,0,0
0 to 5,9,2,20 to 30,1,4,0,0,0,0,0,5,0.2,0.8,0,0,0,0,0
0 to 5,9,1,30 to 40,12,10,3,0,2,0,1,28,0.428571429,0.357142857,0.107142857,0,0.071428571,0,0.035714286
0 to 5,9,1,40 to 50,7,12,1,0,3,0,1,24,0.291666667,0.5,0.041666667,0,0.125,0,0.041666667
0 to 5,9,3,20 to 30,4,2,0,0,0,0,0,6,0.666666667,0.333333333,0,0,0,0,0
0 to 5,9,2,30 to 40,22,16,6,0,0,0,2,46,0.47826087,0.347826087,0.130434783,0,0,0,0.043478261
0 to 5,9,2,40 to 50,13,17,4,0,2,1,3,40,0.325,0.425,0.1,0,0.05,0.025,0.075
0 to 5,9,3,30 to 40,16,14,0,0,1,0,2,33,0.484848485,0.424242424,0,0,0.03030303,0,0.060606061
0 to 5,9,3,40 to 50,11,13,1,0,0,0,2,27,0.407407407,0.481481481,0.037037037,0,0,0,0.074074074
0 to 5,9,5,20 to 30,3,1,0,0,0,0,0,4,0.75,0.25,0,0,0,0,0
0 to 5,9,4,30 to 40,11,12,0,0,1,0,2,26,0.423076923,0.461538462,0,0,0.038461538,0,0.076923077
0 to 5,9,4,40 to 50,3,2,1,0,0,1,1,8,0.375,0.25,0.125,0,0,0.125,0.125
0 to 5,9,5,20 to 30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
0 to 5,9,5,30 to 40,2,1,0,0,1,0,1,5,0.4,0.2,0,0,0.2,0,0.2
0 to 5,10,1,40 to 50,2,2,2,0,0,0,0,6,0.333333333,0.333333333,0.333333333,0,0,0,0
0 to 5,10,2,30 to 40,2,4,0,0,0,1,0,7,0.285714286,0.571428571,0,0,0,0.142857143,0
0 to 5,10,2,40 to 50,10,15,3,0,3,0,0,31,0.322580645,0.483870968,0.096774194,0,0.096774194,0,0
0 to 5,10,3,20 to 30,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0
0 to 5,10,3,30 to 40,2,6,0,0,1,0,0,9,0.222222222,0.666666667,0,0,0.111111111,0,0
0 to 5,10,2,40 to 50,25,32,5,0,1,1,3,67,0.373134328,0.47761194,0.074626866,0,0.014925373,0.014925373,0.044776119
0 to 5,10,3,50 to 60,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0 to 5,10,4,30 to 40,8,2,0,0,1,0,0,11,0.727272727,0.181818182,0,0,0.090909091,0,0
0 to 5,10,3,40 to 50,23,17,2,0,3,0,3,48,0.479166667,0.354166667,0.041666667,0,0.0625,0,0.0625
0 to 5,10,4,30 to 40,7,1,1,0,0,0,1,10,0.7,0.1,0.1,0,0,0,0.1
0 to 5,10,4,40 to 50,18,9,1,0,1,0,3,32,0.5625,0.28125,0.03125,0,0.03125,0,0.09375
0 to 5,10,5,30 to 40,3,3,1,0,2,0,1,10,0.3,0.3,0.1,0,0.2,0,0.1
0 to 5,10,5,40 to 50,9,4,1,0,2,0,1,17,0.529411765,0.235294118,0.058823529,0,0.117647059,0,0.058823529
0 to 5,11,2,40 to 50,4,8,1,0,2,0,0,15,0.266666667,0.533333333,0.066666667,0,0.133333333,0,0
0 to 5,11,2,50 to 60,5,5,1,0,0,0,0,11,0.454545455,0.454545455,0.090909091,0,0,0,0
0 to 5,11,3,30 to 40,0,5,0,0,0,0,0,5,0,1,0,0,0,0,0
0 to 5,11,2,40 to 50,10,11,2,0,2,0,1,26,0.384615385,0.423076923,0.076923077,0,0.076923077,0,0.038461538
0 to 5,11,2,50 to 60,7,9,1,1,1,0,1,20,0.35,0.45,0.05,0.05,0.05,0,0.05
0 to 5,11,3,30 to 40,1,1,1,0,0,0,1,4,0.25,0.25,0.25,0,0,0,0.25
0 to 5,11,3,40 to 50,24,8,1,0,1,1,3,38,0.631578947,0.210526316,0.026315789,0,0.026315789,0.026315789,0.078947368
0 to 5,11,3,50 to 60,10,12,2,0,2,1,1,28,0.357142857,0.428571429,0.071428571,0,0.071428571,0.035714286,0.035714286
0 to 5,11,5,30 to 40,6,1,0,0,0,0,0,7,0.857142857,0.142857143,0,0,0,0,0
0 to 5,11,5,40 to 50,4,12,0,0,0,1,0,17,0.235294118,0.705882353,0,0,0,0.058823529,0
0 to 5,11,4,50 to 60,5,6,0,0,0,0,1,12,0.416666667,0.5,0,0,0,0,0.083333333
