crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
7.5 to 8,13,0,90 to 100,14,22,7,0,7,7,1,58,0.24137931,0.379310345,0.120689655,0,0.120689655,0.120689655,0.017241379
7.5 to 8,13,2,100 to 110,9,8,1,0,3,3,0,24,0.375,0.333333333,0.041666667,0,0.125,0.125,0
7.5 to 8,13,1,90 to 100,21,25,12,1,9,9,3,80,0.2625,0.3125,0.15,0.0125,0.1125,0.1125,0.0375
7.5 to 8,13,2,100 to 110,6,8,3,1,3,0,2,23,0.260869565,0.347826087,0.130434783,0.043478261,0.130434783,0,0.086956522
7.5 to 8,13,2,90 to 100,23,26,8,0,12,5,8,82,0.280487805,0.317073171,0.097560976,0,0.146341463,0.06097561,0.097560976
7.5 to 8,13,3,100 to 110,4,7,3,0,1,0,2,17,0.235294118,0.411764706,0.176470588,0,0.058823529,0,0.117647059
7.5 to 8,13,3,90 to 100,11,22,8,0,4,0,4,49,0.224489796,0.448979592,0.163265306,0,0.081632653,0,0.081632653
7.5 to 8,13,4,100 to 110,2,2,0,0,0,0,1,5,0.4,0.4,0,0,0,0,0.2
7.5 to 8,13,4,90 to 100,1,1,0,0,1,0,2,5,0.2,0.2,0,0,0.2,0,0.4
7.5 to 8,13,5,100 to 110,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7.5 to 8,13,6,90 to 100,4,0,0,0,1,0,0,5,0.8,0,0,0,0.2,0,0
7.5 to 8,14,0,100 to 110,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
7.5 to 8,14,1,100 to 110,5,17,6,0,8,1,0,37,0.135135135,0.459459459,0.162162162,0,0.216216216,0.027027027,0
7.5 to 8,14,1,110 to 120,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,14,1,90 to 100,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,14,1,100 to 110,20,31,11,0,14,7,7,90,0.222222222,0.344444444,0.122222222,0,0.155555556,0.077777778,0.077777778
7.5 to 8,14,2,110 to 120,3,3,2,0,2,0,0,10,0.3,0.3,0.2,0,0.2,0,0
7.5 to 8,14,2,90 to 100,0,1,1,0,1,0,0,3,0,0.333333333,0.333333333,0,0.333333333,0,0
7.5 to 8,14,2,100 to 110,25,32,12,0,17,7,6,99,0.252525253,0.323232323,0.121212121,0,0.171717172,0.070707071,0.060606061
7.5 to 8,14,3,110 to 120,0,2,1,1,1,0,0,5,0,0.4,0.2,0.2,0.2,0,0
7.5 to 8,14,2,90 to 100,1,1,1,0,0,0,1,4,0.25,0.25,0.25,0,0,0,0.25
7.5 to 8,14,3,100 to 110,19,29,7,0,9,5,9,78,0.243589744,0.371794872,0.08974359,0,0.115384615,0.064102564,0.115384615
7.5 to 8,14,4,110 to 120,2,4,0,0,1,1,0,8,0.25,0.5,0,0,0.125,0.125,0
7.5 to 8,14,4,90 to 100,1,1,0,0,1,0,0,3,0.333333333,0.333333333,0,0,0.333333333,0,0
7.5 to 8,14,4,100 to 110,6,9,3,0,1,0,5,24,0.25,0.375,0.125,0,0.041666667,0,0.208333333
7.5 to 8,14,5,110 to 120,1,3,2,0,0,0,0,6,0.166666667,0.5,0.333333333,0,0,0,0
7.5 to 8,14,5,100 to 110,1,7,0,0,0,0,1,9,0.111111111,0.777777778,0,0,0,0,0.111111111
7.5 to 8,14,6,110 to 120,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
7.5 to 8,14,6,90 to 100,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,14,6,100 to 110,1,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0.5
7.5 to 8,15,0,110 to 120,1,1,0,0,2,0,0,4,0.25,0.25,0,0,0.5,0,0
7.5 to 8,15,1,100 to 110,1,2,1,0,2,0,0,6,0.166666667,0.333333333,0.166666667,0,0.333333333,0,0
7.5 to 8,15,1,110 to 120,3,10,2,0,6,2,0,23,0.130434783,0.434782609,0.086956522,0,0.260869565,0.086956522,0
7.5 to 8,15,1,100 to 110,3,5,1,0,3,1,1,14,0.214285714,0.357142857,0.071428571,0,0.214285714,0.071428571,0.071428571
7.5 to 8,15,2,110 to 120,17,35,13,2,16,11,0,94,0.180851064,0.372340426,0.138297872,0.021276596,0.170212766,0.117021277,0
7.5 to 8,15,2,120 to 130,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,15,2,100 to 110,5,4,3,0,5,2,1,20,0.25,0.2,0.15,0,0.25,0.1,0.05
7.5 to 8,15,2,110 to 120,25,35,9,0,15,9,7,100,0.25,0.35,0.09,0,0.15,0.09,0.07
7.5 to 8,15,3,120 to 130,0,2,1,0,0,0,0,3,0,0.666666667,0.333333333,0,0,0,0
7.5 to 8,15,3,100 to 110,3,4,3,0,0,0,1,11,0.272727273,0.363636364,0.272727273,0,0,0,0.090909091
7.5 to 8,15,3,110 to 120,20,29,6,0,11,5,5,76,0.263157895,0.381578947,0.078947368,0,0.144736842,0.065789474,0.065789474
7.5 to 8,15,3,120 to 130,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7.5 to 8,15,5,100 to 110,2,3,0,0,0,0,0,5,0.4,0.6,0,0,0,0,0
7.5 to 8,15,4,110 to 120,10,20,2,0,1,2,3,38,0.263157895,0.526315789,0.052631579,0,0.026315789,0.052631579,0.078947368
7.5 to 8,15,5,120 to 130,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,15,5,110 to 120,1,1,1,0,1,0,1,5,0.2,0.2,0.2,0,0.2,0,0.2
7.5 to 8,15,7,100 to 110,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7.5 to 8,15,7,110 to 120,2,1,0,0,1,0,0,4,0.5,0.25,0,0,0.25,0,0
7.5 to 8,16,0,110 to 120,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
7.5 to 8,16,1,110 to 120,3,2,1,0,2,2,0,10,0.3,0.2,0.1,0,0.2,0.2,0
7.5 to 8,16,1,120 to 130,0,7,3,0,4,1,0,15,0,0.466666667,0.2,0,0.266666667,0.066666667,0
7.5 to 8,16,2,110 to 120,4,12,5,0,1,2,0,24,0.166666667,0.5,0.208333333,0,0.041666667,0.083333333,0
7.5 to 8,16,2,120 to 130,11,21,2,0,7,3,0,44,0.25,0.477272727,0.045454545,0,0.159090909,0.068181818,0
7.5 to 8,16,2,110 to 120,6,12,11,0,3,6,3,41,0.146341463,0.292682927,0.268292683,0,0.073170732,0.146341463,0.073170732
7.5 to 8,16,2,120 to 130,21,31,14,1,14,10,5,96,0.21875,0.322916667,0.145833333,0.010416667,0.145833333,0.104166667,0.052083333
7.5 to 8,16,3,110 to 120,10,12,6,0,5,5,3,41,0.243902439,0.292682927,0.146341463,0,0.12195122,0.12195122,0.073170732
7.5 to 8,16,3,120 to 130,16,25,9,0,12,4,8,74,0.216216216,0.337837838,0.121621622,0,0.162162162,0.054054054,0.108108108
7.5 to 8,16,4,110 to 120,5,8,2,0,2,1,3,21,0.238095238,0.380952381,0.095238095,0,0.095238095,0.047619048,0.142857143
7.5 to 8,16,4,120 to 130,8,22,2,0,6,0,6,44,0.181818182,0.5,0.045454545,0,0.136363636,0,0.136363636
7.5 to 8,16,5,130 to 140,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,16,6,110 to 120,1,0,0,0,1,0,0,2,0.5,0,0,0,0.5,0,0
7.5 to 8,16,5,120 to 130,2,3,0,0,0,1,2,8,0.25,0.375,0,0,0,0.125,0.25
7.5 to 8,16,7,110 to 120,1,0,1,0,0,0,0,2,0.5,0,0.5,0,0,0,0
7.5 to 8,16,6,120 to 130,1,5,0,0,2,0,1,9,0.111111111,0.555555556,0,0,0.222222222,0,0.111111111
7.5 to 8,17,1,120 to 130,5,6,0,0,0,0,0,11,0.454545455,0.545454545,0,0,0,0,0
7.5 to 8,17,1,130 to 140,1,2,0,0,0,0,0,3,0.333333333,0.666666667,0,0,0,0,0
7.5 to 8,17,2,120 to 130,6,12,2,0,5,2,0,27,0.222222222,0.444444444,0.074074074,0,0.185185185,0.074074074,0
7.5 to 8,17,1,130 to 140,1,4,1,0,3,1,1,11,0.090909091,0.363636364,0.090909091,0,0.272727273,0.090909091,0.090909091
7.5 to 8,17,2,120 to 130,16,26,11,0,7,10,2,72,0.222222222,0.361111111,0.152777778,0,0.097222222,0.138888889,0.027777778
7.5 to 8,17,2,130 to 140,9,21,7,0,9,6,2,54,0.166666667,0.388888889,0.12962963,0,0.166666667,0.111111111,0.037037037
7.5 to 8,17,3,120 to 130,15,26,7,0,16,7,9,80,0.1875,0.325,0.0875,0,0.2,0.0875,0.1125
7.5 to 8,17,3,130 to 140,12,19,6,0,10,7,7,61,0.196721311,0.31147541,0.098360656,0,0.163934426,0.114754098,0.114754098
7.5 to 8,17,4,120 to 130,15,24,3,0,9,5,9,65,0.230769231,0.369230769,0.046153846,0,0.138461538,0.076923077,0.138461538
7.5 to 8,17,4,130 to 140,8,10,6,1,6,0,5,36,0.222222222,0.277777778,0.166666667,0.027777778,0.166666667,0,0.138888889
7.5 to 8,17,5,120 to 130,1,7,1,0,0,0,4,13,0.076923077,0.538461538,0.076923077,0,0,0,0.307692308
7.5 to 8,17,5,130 to 140,1,3,0,0,4,0,1,9,0.111111111,0.333333333,0,0,0.444444444,0,0.111111111
7.5 to 8,17,6,120 to 130,3,6,1,0,1,0,1,12,0.25,0.5,0.083333333,0,0.083333333,0,0.083333333
7.5 to 8,17,7,130 to 140,1,1,3,1,0,0,0,6,0.166666667,0.166666667,0.5,0.166666667,0,0,0
7.5 to 8,17,7,120 to 130,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7.5 to 8,17,8,130 to 140,1,0,1,0,1,0,0,3,0.333333333,0,0.333333333,0,0.333333333,0,0
7.5 to 8,18,1,130 to 140,0,1,4,0,3,0,0,8,0,0.125,0.5,0,0.375,0,0
7.5 to 8,18,2,120 to 130,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
7.5 to 8,18,2,130 to 140,5,9,7,0,4,3,0,28,0.178571429,0.321428571,0.25,0,0.142857143,0.107142857,0
7.5 to 8,18,2,140 to 150,0,3,2,0,0,1,0,6,0,0.5,0.333333333,0,0,0.166666667,0
7.5 to 8,18,3,120 to 130,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,18,2,130 to 140,14,31,7,0,10,9,3,74,0.189189189,0.418918919,0.094594595,0,0.135135135,0.121621622,0.040540541
7.5 to 8,18,3,140 to 150,2,4,1,0,1,2,0,10,0.2,0.4,0.1,0,0.1,0.2,0
7.5 to 8,18,4,120 to 130,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,18,3,130 to 140,21,37,14,1,17,8,6,104,0.201923077,0.355769231,0.134615385,0.009615385,0.163461538,0.076923077,0.057692308
7.5 to 8,18,3,140 to 150,5,12,7,0,3,3,1,31,0.161290323,0.387096774,0.225806452,0,0.096774194,0.096774194,0.032258065
7.5 to 8,18,4,120 to 130,1,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0.5
7.5 to 8,18,4,130 to 140,14,34,9,1,14,9,9,90,0.155555556,0.377777778,0.1,0.011111111,0.155555556,0.1,0.1
7.5 to 8,18,4,140 to 150,6,8,5,0,3,1,1,24,0.25,0.333333333,0.208333333,0,0.125,0.041666667,0.041666667
7.5 to 8,18,5,120 to 130,0,1,1,0,0,0,1,3,0,0.333333333,0.333333333,0,0,0,0.333333333
7.5 to 8,18,5,130 to 140,17,18,4,0,5,3,14,61,0.278688525,0.295081967,0.06557377,0,0.081967213,0.049180328,0.229508197
7.5 to 8,18,5,140 to 150,2,9,2,0,4,0,1,18,0.111111111,0.5,0.111111111,0,0.222222222,0,0.055555556
7.5 to 8,18,7,120 to 130,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,18,6,130 to 140,7,2,2,0,1,0,7,19,0.368421053,0.105263158,0.105263158,0,0.052631579,0,0.368421053
7.5 to 8,18,6,140 to 150,0,6,0,0,0,0,1,7,0,0.857142857,0,0,0,0,0.142857143
7.5 to 8,18,7,120 to 130,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7.5 to 8,18,7,130 to 140,2,6,1,0,1,0,1,11,0.181818182,0.545454545,0.090909091,0,0.090909091,0,0.090909091
7.5 to 8,18,7,140 to 150,2,1,0,0,0,0,2,5,0.4,0.2,0,0,0,0,0.4
7.5 to 8,18,8,130 to 140,1,2,0,0,0,0,1,4,0.25,0.5,0,0,0,0,0.25
7.5 to 8,19,1,140 to 150,0,6,0,1,0,0,0,7,0,0.857142857,0,0.142857143,0,0,0
7.5 to 8,19,2,130 to 140,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
7.5 to 8,19,2,140 to 150,0,8,2,0,1,0,0,11,0,0.727272727,0.181818182,0,0.090909091,0,0
7.5 to 8,19,3,130 to 140,1,4,0,0,0,1,0,6,0.166666667,0.666666667,0,0,0,0.166666667,0
7.5 to 8,19,2,140 to 150,6,26,4,0,11,7,1,55,0.109090909,0.472727273,0.072727273,0,0.2,0.127272727,0.018181818
7.5 to 8,19,3,150 to 160,0,1,0,0,0,1,0,2,0,0.5,0,0,0,0.5,0
7.5 to 8,19,4,130 to 140,1,4,2,0,2,1,0,10,0.1,0.4,0.2,0,0.2,0.1,0
7.5 to 8,19,3,140 to 150,21,42,21,1,17,10,5,117,0.179487179,0.358974359,0.179487179,0.008547009,0.145299145,0.085470085,0.042735043
7.5 to 8,19,4,150 to 160,2,5,1,0,1,2,0,11,0.181818182,0.454545455,0.090909091,0,0.090909091,0.181818182,0
7.5 to 8,19,4,130 to 140,4,5,3,0,1,1,1,15,0.266666667,0.333333333,0.2,0,0.066666667,0.066666667,0.066666667
7.5 to 8,19,4,140 to 150,13,35,12,1,12,8,12,93,0.139784946,0.376344086,0.129032258,0.010752688,0.129032258,0.086021505,0.129032258
7.5 to 8,19,5,150 to 160,6,3,2,0,1,2,0,14,0.428571429,0.214285714,0.142857143,0,0.071428571,0.142857143,0
7.5 to 8,19,5,130 to 140,2,2,2,0,4,1,1,12,0.166666667,0.166666667,0.166666667,0,0.333333333,0.083333333,0.083333333
7.5 to 8,19,5,140 to 150,15,32,11,0,12,12,9,91,0.164835165,0.351648352,0.120879121,0,0.131868132,0.131868132,0.098901099
7.5 to 8,19,5,150 to 160,1,4,1,0,0,2,1,9,0.111111111,0.444444444,0.111111111,0,0,0.222222222,0.111111111
7.5 to 8,19,6,130 to 140,3,2,1,0,2,0,3,11,0.272727273,0.181818182,0.090909091,0,0.181818182,0,0.272727273
7.5 to 8,19,6,140 to 150,11,23,9,0,8,5,12,68,0.161764706,0.338235294,0.132352941,0,0.117647059,0.073529412,0.176470588
7.5 to 8,19,7,150 to 160,1,3,0,0,2,3,0,9,0.111111111,0.333333333,0,0,0.222222222,0.333333333,0
7.5 to 8,19,8,130 to 140,1,1,0,0,1,0,0,3,0.333333333,0.333333333,0,0,0.333333333,0,0
7.5 to 8,19,7,140 to 150,0,9,1,0,4,2,3,19,0,0.473684211,0.052631579,0,0.210526316,0.105263158,0.157894737
7.5 to 8,19,8,150 to 160,1,0,0,0,2,0,0,3,0.333333333,0,0,0,0.666666667,0,0
7.5 to 8,19,9,130 to 140,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0
7.5 to 8,19,8,140 to 150,2,3,0,1,0,0,1,7,0.285714286,0.428571429,0,0.142857143,0,0,0.142857143
7.5 to 8,19,8,150 to 160,0,1,0,0,1,0,2,4,0,0.25,0,0,0.25,0,0.5
7.5 to 8,20,1,150 to 160,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7.5 to 8,20,2,140 to 150,1,2,0,0,1,0,0,4,0.25,0.5,0,0,0.25,0,0
7.5 to 8,20,1,150 to 160,1,3,2,0,1,0,1,8,0.125,0.375,0.25,0,0.125,0,0.125
7.5 to 8,20,2,140 to 150,1,3,1,0,0,0,1,6,0.166666667,0.5,0.166666667,0,0,0,0.166666667
7.5 to 8,20,2,150 to 160,3,7,4,0,5,4,1,24,0.125,0.291666667,0.166666667,0,0.208333333,0.166666667,0.041666667
7.5 to 8,20,4,140 to 150,1,8,3,0,1,1,0,14,0.071428571,0.571428571,0.214285714,0,0.071428571,0.071428571,0
7.5 to 8,20,3,150 to 160,6,23,8,1,8,8,1,55,0.109090909,0.418181818,0.145454545,0.018181818,0.145454545,0.145454545,0.018181818
7.5 to 8,20,4,140 to 150,1,8,7,1,3,5,4,29,0.034482759,0.275862069,0.24137931,0.034482759,0.103448276,0.172413793,0.137931034
7.5 to 8,20,4,150 to 160,11,31,8,1,10,11,7,79,0.139240506,0.392405063,0.101265823,0.012658228,0.126582278,0.139240506,0.088607595
7.5 to 8,20,5,140 to 150,4,13,2,1,5,5,4,34,0.117647059,0.382352941,0.058823529,0.029411765,0.147058824,0.147058824,0.117647059
7.5 to 8,20,5,150 to 160,6,25,11,0,13,11,10,76,0.078947368,0.328947368,0.144736842,0,0.171052632,0.144736842,0.131578947
7.5 to 8,20,6,160 to 170,0,5,0,0,1,0,0,6,0,0.833333333,0,0,0.166666667,0,0
7.5 to 8,20,6,140 to 150,0,5,1,0,3,1,4,14,0,0.357142857,0.071428571,0,0.214285714,0.071428571,0.285714286
7.5 to 8,20,6,150 to 160,12,21,10,0,6,4,16,69,0.173913043,0.304347826,0.144927536,0,0.086956522,0.057971014,0.231884058
7.5 to 8,20,6,160 to 170,0,2,0,0,0,0,1,3,0,0.666666667,0,0,0,0,0.333333333
7.5 to 8,20,7,140 to 150,1,5,0,0,0,0,3,9,0.111111111,0.555555556,0,0,0,0,0.333333333
7.5 to 8,20,7,150 to 160,2,17,8,0,2,1,16,46,0.043478261,0.369565217,0.173913043,0,0.043478261,0.02173913,0.347826087
7.5 to 8,20,7,160 to 170,1,0,0,0,0,1,2,4,0.25,0,0,0,0,0.25,0.5
7.5 to 8,20,9,140 to 150,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7.5 to 8,20,8,150 to 160,2,9,1,0,2,1,8,23,0.086956522,0.391304348,0.043478261,0,0.086956522,0.043478261,0.347826087
7.5 to 8,20,9,160 to 170,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7.5 to 8,20,9,150 to 160,0,0,0,0,0,0,5,5,0,0,0,0,0,0,1
7 to 7.5,1,0,0 to 10,2,2,2,1,3,1,0,11,0.181818182,0.181818182,0.181818182,0.090909091,0.272727273,0.090909091,0
7 to 7.5,1,0,10 to 20,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
7 to 7.5,1,0,0 to 10,1,1,1,0,1,0,1,5,0.2,0.2,0.2,0,0.2,0,0.2
7 to 7.5,1,1,0 to 10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7 to 7.5,2,0,10 to 20,6,5,3,3,6,2,0,25,0.24,0.2,0.12,0.12,0.24,0.08,0
7 to 7.5,2,0,10 to 20,5,5,2,0,5,2,2,21,0.238095238,0.238095238,0.095238095,0,0.238095238,0.095238095,0.095238095
7 to 7.5,2,2,10 to 20,0,1,1,0,1,0,0,3,0,0.333333333,0.333333333,0,0.333333333,0,0
7 to 7.5,3,0,10 to 20,4,4,4,2,4,4,0,22,0.181818182,0.181818182,0.181818182,0.090909091,0.181818182,0.181818182,0
7 to 7.5,3,0,20 to 30,7,5,3,0,4,4,0,23,0.304347826,0.217391304,0.130434783,0,0.173913043,0.173913043,0
7 to 7.5,3,0,10 to 20,3,4,2,0,4,1,4,18,0.166666667,0.222222222,0.111111111,0,0.222222222,0.055555556,0.222222222
7 to 7.5,3,0,20 to 30,5,4,1,0,4,2,2,18,0.277777778,0.222222222,0.055555556,0,0.222222222,0.111111111,0.111111111
7 to 7.5,3,2,10 to 20,2,1,1,0,2,0,0,6,0.333333333,0.166666667,0.166666667,0,0.333333333,0,0
7 to 7.5,3,1,20 to 30,5,4,1,0,2,1,1,14,0.357142857,0.285714286,0.071428571,0,0.142857143,0.071428571,0.071428571
7 to 7.5,3,2,20 to 30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
7 to 7.5,4,0,20 to 30,10,10,6,0,10,8,0,44,0.227272727,0.227272727,0.136363636,0,0.227272727,0.181818182,0
7 to 7.5,4,0,30 to 40,4,1,0,0,0,0,0,5,0.8,0.2,0,0,0,0,0
7 to 7.5,4,0,20 to 30,10,10,3,2,10,5,6,46,0.217391304,0.217391304,0.065217391,0.043478261,0.217391304,0.108695652,0.130434783
7 to 7.5,4,1,30 to 40,2,2,0,0,0,1,0,5,0.4,0.4,0,0,0,0.2,0
7 to 7.5,4,1,20 to 30,10,9,4,0,6,1,3,33,0.303030303,0.272727273,0.121212121,0,0.181818182,0.03030303,0.090909091
7 to 7.5,4,2,30 to 40,1,0,0,0,1,1,0,3,0.333333333,0,0,0,0.333333333,0.333333333,0
7 to 7.5,4,3,20 to 30,3,0,0,0,1,0,0,4,0.75,0,0,0,0.25,0,0
7 to 7.5,5,0,30 to 40,16,16,7,0,12,5,0,56,0.285714286,0.285714286,0.125,0,0.214285714,0.089285714,0
7 to 7.5,5,0,30 to 40,15,16,11,1,13,5,7,68,0.220588235,0.235294118,0.161764706,0.014705882,0.191176471,0.073529412,0.102941176
7 to 7.5,5,1,30 to 40,16,12,3,0,9,1,3,44,0.363636364,0.272727273,0.068181818,0,0.204545455,0.022727273,0.068181818
7 to 7.5,5,2,30 to 40,3,2,0,0,0,0,1,6,0.5,0.333333333,0,0,0,0,0.166666667
7 to 7.5,5,4,30 to 40,3,2,1,0,0,0,0,6,0.5,0.333333333,0.166666667,0,0,0,0
7 to 7.5,6,0,30 to 40,5,5,0,0,3,1,0,14,0.357142857,0.357142857,0,0,0.214285714,0.071428571,0
7 to 7.5,6,0,40 to 50,8,10,1,0,7,2,0,28,0.285714286,0.357142857,0.035714286,0,0.25,0.071428571,0
7 to 7.5,6,0,30 to 40,5,5,3,0,6,3,2,24,0.208333333,0.208333333,0.125,0,0.25,0.125,0.083333333
7 to 7.5,6,0,40 to 50,12,14,7,0,12,4,3,52,0.230769231,0.269230769,0.134615385,0,0.230769231,0.076923077,0.057692308
7 to 7.5,6,1,30 to 40,5,5,1,0,1,0,1,13,0.384615385,0.384615385,0.076923077,0,0.076923077,0,0.076923077
7 to 7.5,6,1,40 to 50,11,11,5,0,5,4,7,43,0.255813953,0.255813953,0.11627907,0,0.11627907,0.093023256,0.162790698
7 to 7.5,6,3,30 to 40,2,1,0,1,1,0,0,5,0.4,0.2,0,0.2,0.2,0,0
7 to 7.5,6,2,40 to 50,2,1,0,0,1,0,3,7,0.285714286,0.142857143,0,0,0.142857143,0,0.428571429
7 to 7.5,6,4,30 to 40,0,1,0,0,1,0,0,2,0,0.5,0,0,0.5,0,0
7 to 7.5,6,4,40 to 50,3,0,0,0,0,1,0,4,0.75,0,0,0,0,0.25,0
7 to 7.5,7,0,40 to 50,9,13,3,0,4,0,0,29,0.310344828,0.448275862,0.103448276,0,0.137931034,0,0
7 to 7.5,7,0,50 to 60,4,5,1,0,0,1,0,11,0.363636364,0.454545455,0.090909091,0,0,0.090909091,0
7 to 7.5,7,0,40 to 50,15,15,11,0,8,3,3,55,0.272727273,0.272727273,0.2,0,0.145454545,0.054545455,0.054545455
7 to 7.5,7,1,50 to 60,6,6,2,0,5,2,0,21,0.285714286,0.285714286,0.095238095,0,0.238095238,0.095238095,0
7 to 7.5,7,1,40 to 50,14,15,3,1,6,3,3,45,0.311111111,0.333333333,0.066666667,0.022222222,0.133333333,0.066666667,0.066666667
7 to 7.5,7,1,50 to 60,6,6,2,0,1,2,1,18,0.333333333,0.333333333,0.111111111,0,0.055555556,0.111111111,0.055555556
7 to 7.5,7,2,40 to 50,12,12,2,0,3,0,3,32,0.375,0.375,0.0625,0,0.09375,0,0.09375
7 to 7.5,7,2,50 to 60,2,8,1,0,2,0,1,14,0.142857143,0.571428571,0.071428571,0,0.142857143,0,0.071428571
7 to 7.5,7,3,40 to 50,5,4,1,0,1,0,1,12,0.416666667,0.333333333,0.083333333,0,0.083333333,0,0.083333333
7 to 7.5,7,3,50 to 60,2,2,0,0,0,0,1,5,0.4,0.4,0,0,0,0,0.2
7 to 7.5,8,0,50 to 60,11,15,3,0,3,2,0,34,0.323529412,0.441176471,0.088235294,0,0.088235294,0.058823529,0
7 to 7.5,8,0,60 to 70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
7 to 7.5,8,0,50 to 60,21,23,10,0,15,4,1,74,0.283783784,0.310810811,0.135135135,0,0.202702703,0.054054054,0.013513514
7 to 7.5,8,0,60 to 70,1,2,0,0,1,0,1,5,0.2,0.4,0,0,0.2,0,0.2
7 to 7.5,8,1,50 to 60,22,22,7,0,14,3,4,72,0.305555556,0.305555556,0.097222222,0,0.194444444,0.041666667,0.055555556
7 to 7.5,8,2,60 to 70,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0
7 to 7.5,8,2,50 to 60,13,13,4,1,1,2,2,36,0.361111111,0.361111111,0.111111111,0.027777778,0.027777778,0.055555556,0.055555556
7 to 7.5,8,3,60 to 70,1,1,0,0,0,0,0,2,0.5,0.5,0,0,0,0,0
7 to 7.5,8,3,50 to 60,5,9,0,0,2,1,1,18,0.277777778,0.5,0,0,0.111111111,0.055555556,0.055555556
7 to 7.5,9,0,50 to 60,2,1,0,0,0,0,0,3,0.666666667,0.333333333,0,0,0,0,0
7 to 7.5,9,0,60 to 70,7,12,5,0,2,0,0,26,0.269230769,0.461538462,0.192307692,0,0.076923077,0,0
7 to 7.5,9,1,50 to 60,3,3,1,0,3,0,0,10,0.3,0.3,0.1,0,0.3,0,0
7 to 7.5,9,0,60 to 70,22,24,11,0,12,6,1,76,0.289473684,0.315789474,0.144736842,0,0.157894737,0.078947368,0.013157895
7 to 7.5,9,2,50 to 60,3,3,0,0,2,1,0,9,0.333333333,0.333333333,0,0,0.222222222,0.111111111,0
7 to 7.5,9,1,60 to 70,22,27,9,0,13,3,9,83,0.265060241,0.325301205,0.108433735,0,0.156626506,0.036144578,0.108433735
7 to 7.5,9,3,50 to 60,1,3,0,0,1,0,0,5,0.2,0.6,0,0,0.2,0,0
7 to 7.5,9,2,60 to 70,18,21,6,0,7,3,4,59,0.305084746,0.355932203,0.101694915,0,0.118644068,0.050847458,0.06779661
7 to 7.5,9,3,50 to 60,2,1,0,0,1,0,2,6,0.333333333,0.166666667,0,0,0.166666667,0,0.333333333
7 to 7.5,9,3,60 to 70,4,11,1,0,1,1,4,22,0.181818182,0.5,0.045454545,0,0.045454545,0.045454545,0.181818182
7 to 7.5,10,0,60 to 70,4,5,1,0,2,0,0,12,0.333333333,0.416666667,0.083333333,0,0.166666667,0,0
7 to 7.5,10,0,70 to 80,3,1,0,0,0,1,0,5,0.6,0.2,0,0,0,0.2,0
7 to 7.5,10,1,60 to 70,13,11,6,1,5,1,0,37,0.351351351,0.297297297,0.162162162,0.027027027,0.135135135,0.027027027,0
7 to 7.5,10,1,70 to 80,10,16,3,1,9,5,0,44,0.227272727,0.363636364,0.068181818,0.022727273,0.204545455,0.113636364,0
7 to 7.5,10,1,60 to 70,13,14,11,0,3,2,4,47,0.276595745,0.29787234,0.234042553,0,0.063829787,0.042553191,0.085106383
7 to 7.5,10,1,70 to 80,12,16,7,0,10,3,3,51,0.235294118,0.31372549,0.137254902,0,0.196078431,0.058823529,0.058823529
7 to 7.5,10,2,60 to 70,9,12,8,0,4,0,3,36,0.25,0.333333333,0.222222222,0,0.111111111,0,0.083333333
7 to 7.5,10,2,70 to 80,11,14,5,1,5,1,8,45,0.244444444,0.311111111,0.111111111,0.022222222,0.111111111,0.022222222,0.177777778
