player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Ashton Turner,10,4,3,0,0,0,0,3,0.4,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Adam Zampa,8,4,1,0,0,1,0,2,0.5,0.125,0,0,0.125,0,0.25,51,109,16,0,12,14,19,221,0.23076923076923078,0.49321266968325794,0.07239819004524888,0,0.05429864253393665,0.06334841628959276,0.08597285067873303
Ajit Agarkar,154,44,67,15,0,13,5,10,0.2857142857142857,0.43506493506493504,0.09740259740259741,0,0.08441558441558442,0.032467532467532464,0.06493506493506493,225,341,47,4,113,40,29,799,0.2816020025031289,0.4267834793491865,0.058823529411764705,0.0050062578222778474,0.1414267834793492,0.05006257822277847,0.03629536921151439
AB de Villiers,2907,783,1210,220,15,357,212,110,0.2693498452012384,0.4162366701066392,0.07567939456484347,0.005159958720330237,0.12280701754385964,0.07292741658066736,0.03783969728242174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ashok Dinda,48,19,16,1,0,2,0,10,0.3958333333333333,0.3333333333333333,0.020833333333333332,0,0.041666666666666664,0,0.20833333333333334,558,536,102,6,230,56,69,1557,0.3583815028901734,0.34425176621708414,0.06551059730250482,0.0038535645472061657,0.14771997430956968,0.03596660244059088,0.04431599229287091
Abdur Razzak,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,1,0,2,1,0,12,0.4166666666666667,0.25,0.08333333333333333,0,0.16666666666666666,0.08333333333333333,0.0
Aiden Blizzard,90,40,17,2,1,21,2,7,0.4444444444444444,0.18888888888888888,0.022222222222222223,0.011111111111111112,0.23333333333333334,0.022222222222222223,0.07777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Adam Gilchrist,1495,601,417,66,4,239,92,76,0.4020066889632107,0.27892976588628765,0.04414715719063545,0.0026755852842809363,0.15986622073578596,0.06153846153846154,0.050836120401337795,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1.0
Adam Voges,143,40,61,18,2,15,3,4,0.27972027972027974,0.42657342657342656,0.1258741258741259,0.013986013986013986,0.1048951048951049,0.02097902097902098,0.027972027972027972,15,30,1,0,8,2,0,56,0.26785714285714285,0.5357142857142857,0.017857142857142856,0,0.14285714285714285,0.03571428571428571,0.0
Angelo Mathews,575,152,267,49,3,44,29,31,0.2643478260869565,0.4643478260869565,0.08521739130434783,0.0052173913043478265,0.07652173913043478,0.050434782608695654,0.05391304347826087,197,379,62,0,98,29,27,792,0.24873737373737373,0.47853535353535354,0.07828282828282829,0,0.12373737373737374,0.036616161616161616,0.03409090909090909
Andre Russell,752,229,234,31,0,96,120,42,0.3045212765957447,0.31117021276595747,0.041223404255319146,0,0.1276595744680851,0.1595744680851064,0.05585106382978723,307,406,66,4,153,61,55,1052,0.29182509505703425,0.38593155893536124,0.06273764258555133,0.0038022813688212928,0.14543726235741444,0.05798479087452472,0.05228136882129278
Adam Milne,12,4,5,1,0,0,0,2,0.3333333333333333,0.4166666666666667,0.08333333333333333,0,0,0,0.16666666666666666,28,44,7,0,21,5,4,109,0.25688073394495414,0.4036697247706422,0.06422018348623854,0,0.1926605504587156,0.045871559633027525,0.03669724770642202
Aaron Finch,1329,477,456,83,3,176,67,67,0.35891647855530473,0.3431151241534989,0.062452972159518436,0.002257336343115124,0.13243039879608728,0.05041384499623777,0.05041384499623777,12,19,4,0,4,4,1,44,0.2727272727272727,0.4318181818181818,0.09090909090909091,0,0.09090909090909091,0.09090909090909091,0.022727272727272728
Andrew Tye,70,23,22,6,1,6,4,8,0.32857142857142857,0.3142857142857143,0.08571428571428572,0.014285714285714285,0.08571428571428572,0.05714285714285714,0.11428571428571428,143,278,44,1,73,26,39,604,0.2367549668874172,0.4602649006622517,0.0728476821192053,0.0016556291390728477,0.12086092715231789,0.04304635761589404,0.06456953642384106
