crr_ran,total_Score_range,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
12 to 13,60 to 70,42,9,11,2,0,11,5,4,0.21428571428571427,0.2619047619047619,0.047619047619047616,0.0,0.2619047619047619,0.11904761904761904,0.09523809523809523
11 to 12,170 to 180,44,3,23,2,1,7,6,2,0.06818181818181818,0.5227272727272727,0.045454545454545456,0.022727272727272728,0.1590909090909091,0.13636363636363635,0.045454545454545456
11 to 12,20 to 30,45,13,13,1,0,15,2,1,0.28888888888888886,0.28888888888888886,0.022222222222222223,0.0,0.3333333333333333,0.044444444444444446,0.022222222222222223
11 to 12,200 to 210,47,8,16,6,0,8,7,2,0.1702127659574468,0.3404255319148936,0.1276595744680851,0.0,0.1702127659574468,0.14893617021276595,0.0425531914893617
11 to 12,220 to 230,47,5,15,5,0,10,9,3,0.10638297872340426,0.3191489361702128,0.10638297872340426,0.0,0.2127659574468085,0.19148936170212766,0.06382978723404255
11 to 12,190 to 200,48,9,18,4,1,6,6,4,0.1875,0.375,0.08333333333333333,0.020833333333333332,0.125,0.125,0.08333333333333333
11 to 12,160 to 170,49,7,19,1,0,9,11,2,0.14285714285714285,0.3877551020408163,0.02040816326530612,0.0,0.1836734693877551,0.22448979591836735,0.04081632653061224
12 to 13,50 to 60,49,12,15,5,0,13,3,1,0.24489795918367346,0.30612244897959184,0.10204081632653061,0.0,0.2653061224489796,0.061224489795918366,0.02040816326530612
9 to 9.5,10 to 20,49,14,10,6,1,12,5,1,0.2857142857142857,0.20408163265306123,0.12244897959183673,0.02040816326530612,0.24489795918367346,0.10204081632653061,0.02040816326530612
12 to 13,30 to 40,51,14,14,2,1,12,5,3,0.27450980392156865,0.27450980392156865,0.0392156862745098,0.0196078431372549,0.23529411764705882,0.09803921568627451,0.058823529411764705
10 to 11,10 to 20,53,13,10,6,2,14,4,4,0.24528301886792453,0.18867924528301888,0.11320754716981132,0.03773584905660377,0.2641509433962264,0.07547169811320754,0.07547169811320754
9.5 to 10,20 to 30,54,15,15,3,1,15,4,1,0.2777777777777778,0.2777777777777778,0.05555555555555555,0.018518518518518517,0.2777777777777778,0.07407407407407407,0.018518518518518517
11 to 12,100 to 110,55,6,29,1,2,7,7,3,0.10909090909090909,0.5272727272727272,0.01818181818181818,0.03636363636363636,0.12727272727272726,0.12727272727272726,0.05454545454545454
8.5 to 9,10 to 20,55,10,14,7,3,11,8,2,0.18181818181818182,0.2545454545454545,0.12727272727272726,0.05454545454545454,0.2,0.14545454545454545,0.03636363636363636
11 to 12,210 to 220,59,4,22,7,0,15,9,2,0.06779661016949153,0.3728813559322034,0.11864406779661017,0.0,0.2542372881355932,0.15254237288135594,0.03389830508474576
10 to 11,210 to 220,60,6,19,8,1,9,8,9,0.1,0.31666666666666665,0.13333333333333333,0.016666666666666666,0.15,0.13333333333333333,0.15
11 to 12,70 to 80,60,12,27,3,0,14,2,2,0.2,0.45,0.05,0.0,0.23333333333333334,0.03333333333333333,0.03333333333333333
12 to 13,40 to 50,60,17,15,2,1,14,5,6,0.2833333333333333,0.25,0.03333333333333333,0.016666666666666666,0.23333333333333334,0.08333333333333333,0.1
5 to 6,0 to 10,60,15,16,6,0,14,2,7,0.25,0.26666666666666666,0.1,0.0,0.23333333333333334,0.03333333333333333,0.11666666666666667
