batsman,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
Bhuvneshwar Kumar,192,65,69,14,0,17,3,24,0.3385416666666667,0.359375,0.07291666666666667,0.0,0.08854166666666667,0.015625,0.125
Ben Laughlin,13,6,5,0,0,0,0,2,0.4615384615384616,0.38461538461538464,0.0,0.0,0.0,0.0,0.15384615384615385
Brett Lee,97,31,36,4,0,8,8,10,0.31958762886597936,0.3711340206185567,0.041237113402061855,0.0,0.08247422680412371,0.08247422680412371,0.10309278350515463
Billy Stanlake,2,0,1,0,0,1,0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
Bodapati Sumanth,37,13,17,3,0,3,0,1,0.35135135135135137,0.4594594594594595,0.08108108108108109,0.0,0.08108108108108109,0.0,0.027027027027027032
Bhargav Bhatt,7,5,0,0,0,0,1,1,0.7142857142857143,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
Ben Stokes,481,119,221,43,2,43,25,28,0.2474012474012474,0.4594594594594595,0.0893970893970894,0.004158004158004158,0.0893970893970894,0.05197505197505198,0.058212058212058215
Basil Thampi,35,13,16,3,0,1,1,1,0.37142857142857133,0.4571428571428571,0.08571428571428573,0.0,0.028571428571428567,0.028571428571428567,0.028571428571428567
Ajantha Mendis,6,1,3,0,0,0,0,2,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.3333333333333333
Brendon McCullum,2186,840,713,103,3,293,130,104,0.3842634949679781,0.3261665141811528,0.04711802378774017,0.0013723696248856359,0.13403476669716374,0.059469350411710885,0.04757548032936871
Biplab Samantray,113,40,45,8,0,13,2,5,0.3539823008849557,0.3982300884955752,0.07079646017699115,0.0,0.11504424778761063,0.017699115044247787,0.04424778761061947
Barinder Sran,14,4,8,1,0,0,0,1,0.2857142857142857,0.5714285714285714,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
Ben Cutting,141,42,44,10,0,15,19,11,0.2978723404255319,0.3120567375886525,0.07092198581560284,0.0,0.10638297872340426,0.1347517730496454,0.07801418439716312
Beuran Hendricks,3,1,1,0,0,0,0,1,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
Bipul Sharma,123,25,51,19,0,11,9,8,0.2032520325203252,0.4146341463414634,0.15447154471544716,0.0,0.08943089430894309,0.07317073170731707,0.06504065040650407
Brad Haddin,11,4,2,1,0,2,1,1,0.3636363636363637,0.18181818181818185,0.09090909090909093,0.0,0.18181818181818185,0.09090909090909093,0.09090909090909093
