num,batsman,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
47,Ankit Sharma,109,27,43,9,0,11,9,10,0.24770642201834864,0.3944954128440367,0.08256880733944955,0.0,0.10091743119266056,0.08256880733944955,0.09174311926605505
48,Ankit Soni,9,5,1,0,0,0,1,2,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222
49,Anureet Singh,47,18,22,0,0,2,1,4,0.3829787234042553,0.46808510638297873,0.0,0.0,0.0425531914893617,0.02127659574468085,0.0851063829787234
50,AP Dole,22,4,8,4,0,3,1,2,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.0,0.13636363636363635,0.045454545454545456,0.09090909090909091
51,AP Majumdar,76,23,33,7,0,7,2,4,0.3026315789473684,0.4342105263157895,0.09210526315789473,0.0,0.09210526315789473,0.02631578947368421,0.05263157894736842
52,AP Tare,273,106,72,19,1,40,11,24,0.3882783882783883,0.26373626373626374,0.0695970695970696,0.003663003663003663,0.14652014652014653,0.040293040293040296,0.08791208791208792
53,AR Bawne,12,4,6,1,0,1,0,0,0.3333333333333333,0.5,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0
54,AR Patel,630,155,304,47,0,47,35,42,0.24603174603174602,0.48253968253968255,0.0746031746031746,0.0,0.0746031746031746,0.05555555555555555,0.06666666666666667
55,AS Rajpoot,31,17,7,1,0,2,0,4,0.5483870967741935,0.22580645161290322,0.03225806451612903,0.0,0.06451612903225806,0.0,0.12903225806451613
56,AS Raut,167,53,73,9,3,13,7,9,0.31736526946107785,0.437125748502994,0.05389221556886228,0.017964071856287425,0.07784431137724551,0.041916167664670656,0.05389221556886228
57,AS Yadav,749,247,289,41,1,111,28,32,0.32977303070761016,0.38584779706275035,0.05473965287049399,0.0013351134846461949,0.14819759679572764,0.037383177570093455,0.042723631508678236
58,AT Rayudu,2620,795,1157,154,1,278,120,115,0.30343511450381677,0.4416030534351145,0.05877862595419847,0.0003816793893129771,0.10610687022900764,0.04580152671755725,0.04389312977099236
59,AUK Pathan,23,6,3,2,0,5,2,5,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.0,0.21739130434782608,0.08695652173913043,0.21739130434782608
60,Avesh Khan,3,2,0,0,0,1,0,0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
61,Azhar Mahmood,303,97,116,19,0,39,13,19,0.3201320132013201,0.38283828382838286,0.0627062706270627,0.0,0.12871287128712872,0.0429042904290429,0.0627062706270627
