bowler,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Abhishek Nayar.,60,112,22,0,22,13,9,238,0.25210084033613445,0.4705882352941176,0.09243697478991596,0.0,0.09243697478991596,0.0546218487394958,0.037815126050420166
Ajinkya Rahane,1,3,1,0,0,0,1,6,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
Anand Rajan,49,65,10,0,17,8,8,157,0.31210191082802546,0.4140127388535032,0.06369426751592358,0.0,0.10828025477707008,0.050955414012738856,0.050955414012738856
Ankit Sharma,125,169,25,4,29,19,13,384,0.3255208333333333,0.4401041666666667,0.06510416666666667,0.010416666666666666,0.07552083333333333,0.04947916666666666,0.033854166666666664
Ankit Soni,35,48,11,0,8,7,2,111,0.3153153153153153,0.4324324324324325,0.0990990990990991,0.0,0.07207207207207207,0.06306306306306306,0.018018018018018014
Anureet Singh,121,158,29,3,64,22,18,415,0.29156626506024097,0.38072289156626493,0.06987951807228916,0.0072289156626506035,0.15421686746987953,0.05301204819277108,0.04337349397590362
Axar Patel,489,811,109,3,138,89,71,1710,0.28596491228070176,0.4742690058479532,0.06374269005847953,0.0017543859649122807,0.08070175438596491,0.052046783625730994,0.04152046783625731
Ankit Rajpoot,139,156,23,3,71,18,22,432,0.32175925925925924,0.3611111111111111,0.053240740740740734,0.006944444444444444,0.16435185185185186,0.04166666666666666,0.050925925925925916
Avesh Khan,56,53,4,0,22,18,5,158,0.35443037974683544,0.3354430379746836,0.02531645569620253,0.0,0.13924050632911392,0.1139240506329114,0.03164556962025317
Azhar Mahmood,170,219,33,1,71,18,29,541,0.3142329020332717,0.4048059149722736,0.06099815157116451,0.0018484288354898336,0.13123844731977818,0.033271719038817,0.05360443622920517
Balachandra Akhil,54,88,14,0,18,9,6,189,0.2857142857142857,0.4656084656084656,0.07407407407407407,0.0,0.09523809523809523,0.047619047619047616,0.031746031746031744
Bharat Chipli,1,0,2,0,1,2,0,6,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0
Brett Geeves,14,15,1,0,17,1,1,49,0.2857142857142857,0.30612244897959184,0.020408163265306117,0.0,0.3469387755102041,0.020408163265306117,0.020408163265306117
Bhuvneshwar Kumar,983,918,179,11,322,87,133,2633,0.37333839726547663,0.3486517280668439,0.06798328902392707,0.004177744018230156,0.1222939612609191,0.03304215723509305,0.05051272312951007
Ben Laughlin,32,80,19,0,26,10,10,177,0.1807909604519774,0.4519774011299435,0.10734463276836158,0.0,0.14689265536723164,0.05649717514124294,0.05649717514124294
Brett Lee,349,296,67,2,121,25,25,885,0.3943502824858757,0.3344632768361582,0.07570621468926554,0.0022598870056497176,0.1367231638418079,0.02824858757062147,0.02824858757062147
Billy Stanlake,57,49,6,3,19,9,7,150,0.38,0.32666666666666666,0.04,0.02,0.12666666666666668,0.06,0.04666666666666667
Bhargav Bhatt,81,137,18,2,35,13,12,298,0.27181208053691275,0.4597315436241611,0.060402684563758385,0.006711409395973154,0.1174496644295302,0.0436241610738255,0.040268456375838924
Ben Stokes,181,236,45,2,86,22,26,598,0.30267558528428096,0.3946488294314381,0.07525083612040134,0.0033444816053511705,0.14381270903010032,0.03678929765886288,0.043478260869565216
Basil Thampi,93,180,28,0,58,30,16,405,0.22962962962962966,0.4444444444444444,0.0691358024691358,0.0,0.14320987654320988,0.07407407407407407,0.03950617283950617
Ajantha Mendis,68,121,16,1,16,10,8,240,0.2833333333333333,0.5041666666666667,0.06666666666666668,0.0041666666666666675,0.06666666666666668,0.04166666666666666,0.03333333333333333
Barinder Sran,150,197,37,3,72,29,18,506,0.2964426877470356,0.3893280632411067,0.07312252964426877,0.005928853754940711,0.1422924901185771,0.05731225296442687,0.03557312252964427
Ben Cutting,67,139,12,0,44,15,10,287,0.2334494773519164,0.4843205574912892,0.041811846689895474,0.0,0.15331010452961671,0.05226480836236934,0.03484320557491289
Beuran Hendricks,43,52,14,4,24,7,9,153,0.2810457516339869,0.33986928104575165,0.0915032679738562,0.026143790849673203,0.1568627450980392,0.0457516339869281,0.05882352941176471
Bipul Sharma,114,207,28,2,28,31,17,427,0.26697892271662765,0.4847775175644028,0.06557377049180327,0.00468384074941452,0.06557377049180327,0.07259953161592506,0.03981264637002342
Brad Hodge,58,108,19,0,17,14,17,233,0.24892703862660945,0.46351931330472107,0.0815450643776824,0.0,0.07296137339055794,0.06008583690987125,0.07296137339055794
