rrr_ran,total_Score_range,over,wickets_fell,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,100 to 110,17,4,8,7,1,0,2,1,2,21,0.38095238095238093,0.3333333333333333,0.047619047619047616,0.0,0.09523809523809523,0.047619047619047616,0.09523809523809523
>13,100 to 110,17,5,15,23,4,0,1,1,2,46,0.32608695652173914,0.5,0.08695652173913043,0.0,0.021739130434782608,0.021739130434782608,0.043478260869565216
>13,100 to 110,17,6,8,18,2,0,3,5,2,38,0.21052631578947367,0.47368421052631576,0.05263157894736842,0.0,0.07894736842105263,0.13157894736842105,0.05263157894736842
>13,100 to 110,17,7,12,30,3,0,9,1,3,58,0.20689655172413793,0.5172413793103449,0.05172413793103448,0.0,0.15517241379310345,0.017241379310344827,0.05172413793103448
>13,100 to 110,17,8,15,13,0,0,2,3,2,35,0.42857142857142855,0.37142857142857144,0.0,0.0,0.05714285714285714,0.08571428571428572,0.05714285714285714
>13,100 to 110,17,9,3,2,0,0,1,0,2,8,0.375,0.25,0.0,0.0,0.125,0.0,0.25
>13,100 to 110,17,10,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,100 to 110,18,3,1,0,0,0,1,0,0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0
>13,100 to 110,18,4,5,3,0,0,0,0,0,8,0.625,0.375,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,18,5,3,7,1,0,2,1,0,14,0.21428571428571427,0.5,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0
>13,100 to 110,18,6,6,13,1,0,1,0,2,23,0.2608695652173913,0.5652173913043478,0.043478260869565216,0.0,0.043478260869565216,0.0,0.08695652173913043
>13,100 to 110,18,7,9,14,1,0,1,3,4,32,0.28125,0.4375,0.03125,0.0,0.03125,0.09375,0.125
>13,100 to 110,18,8,10,12,1,0,0,0,7,30,0.3333333333333333,0.4,0.03333333333333333,0.0,0.0,0.0,0.23333333333333334
>13,100 to 110,18,9,20,16,0,0,0,1,3,40,0.5,0.4,0.0,0.0,0.0,0.025,0.075
>13,100 to 110,18,10,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,100 to 110,19,5,0,1,1,0,0,0,0,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0
>13,100 to 110,19,6,0,1,0,0,1,0,1,3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
>13,100 to 110,19,7,4,4,1,0,0,0,2,11,0.36363636363636365,0.36363636363636365,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182
>13,100 to 110,19,8,9,11,2,0,3,0,3,28,0.32142857142857145,0.39285714285714285,0.07142857142857142,0.0,0.10714285714285714,0.0,0.10714285714285714
>13,100 to 110,19,9,16,18,1,1,1,0,5,42,0.38095238095238093,0.42857142857142855,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.11904761904761904
>13,100 to 110,19,10,0,0,0,0,0,0,6,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,100 to 110,20,6,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,20,7,1,1,1,0,0,0,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
>13,100 to 110,20,8,4,3,1,0,2,0,0,10,0.4,0.3,0.1,0.0,0.2,0.0,0.0
>13,100 to 110,20,9,8,6,0,0,0,0,2,16,0.5,0.375,0.0,0.0,0.0,0.0,0.125
>13,100 to 110,20,10,0,0,0,0,0,0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,110 to 120,10,1,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
