num,bowler,dots,singles,doubles,triples,fours,sixes,wickets,balls_bowled,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
21,A Nehra,692,675,107,7,277,75,106,1939,0.3568849922640536,0.3481175863847344,0.05518308406395049,0.0036101083032490976,0.14285714285714285,0.038679731820526045,0.05466735430634347
22,SR Watson,711,781,133,6,292,74,92,2089,0.34035423647678315,0.37386309238870274,0.0636668262326472,0.0028721876495931067,0.13977979894686454,0.03542364767831498,0.0440402106270943
23,I Sharma,743,603,128,13,301,72,71,1931,0.384774728120145,0.3122734334541688,0.06628689798032107,0.006732263076126359,0.15587778353184878,0.03728638011393061,0.03676851372345935
24,MJ McClenaghan,436,484,71,3,176,70,71,1311,0.3325705568268497,0.3691838291380625,0.05415713196033562,0.002288329519450801,0.13424866514111367,0.05339435545385202,0.05415713196033562
25,RP Singh,654,628,124,8,253,69,90,1826,0.35815991237677985,0.343921139101862,0.06790799561883899,0.004381161007667032,0.13855421686746988,0.03778751369112815,0.04928806133625411
26,Shakib Al Hasan,396,618,87,2,109,69,59,1340,0.2955223880597015,0.46119402985074626,0.06492537313432836,0.0014925373134328358,0.08134328358208955,0.05149253731343283,0.04402985074626865
27,L Balaji,461,618,112,3,188,68,76,1526,0.3020969855832241,0.40498034076015726,0.07339449541284404,0.001965923984272608,0.12319790301441677,0.04456094364351245,0.04980340760157274
28,R Bhatia,365,891,108,5,120,68,71,1628,0.2242014742014742,0.5472972972972973,0.06633906633906633,0.003071253071253071,0.07371007371007371,0.04176904176904177,0.04361179361179361
29,Sandeep Sharma,566,503,96,5,199,67,83,1519,0.3726135615536537,0.33113890717577354,0.06319947333772219,0.0032916392363396972,0.13100724160631994,0.044107965766951945,0.05464121132323897
30,JJ Bumrah,564,686,145,8,193,66,82,1744,0.32339449541284404,0.393348623853211,0.08314220183486239,0.0045871559633027525,0.1106651376146789,0.03784403669724771,0.047018348623853214
31,M Muralitharan,535,657,104,3,104,66,63,1532,0.3492167101827676,0.42885117493472585,0.06788511749347259,0.0019582245430809398,0.06788511749347259,0.04308093994778068,0.041122715404699736
